"CFOP";"Descrição Resumida"
5.915;"Remessa de mercadoria ou bem p/ conserto ou reparo"
5.916;"Retorno de mercadoria ou bem recebido p/ conserto ou reparo"
5.917;"Remessa de mercadoria em consignação mercantil ou industrial"
5.918;"Devolução de mercadoria recebida em consignação mercantil ou industrial"
5.919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial"
5.920;"Remessa de vasilhame ou sacaria"
5.921;"Devolução de vasilhame ou sacaria"
5.922;"Lançamento efetuado a título de simples faturamento decorrente de venda p/ entrega futura"
5.923;"Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem ou em operações com armazém geral ou depósito fechado."
5.924;"Remessa p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
5.925;"Retorno de mercadoria recebida p/ industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente"
5.926;"Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação"
5.927;"Lançamento efetuado a título de baixa de estoque decorrente de perda, roubo ou deterioração"
5.928;"Lançamento efetuado a título de baixa de estoque decorrente do encerramento da atividade da empresa"
5.929;"Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF"
5.931;"Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na UF onde iniciado o serviço"
5.932;"Prestação de serviço de transporte iniciada em UF diversa daquela onde inscrito o prestador"
5.933;"Prestação de serviço tributado pelo Imposto Sobre Serviços de Qualquer Natureza"
5.934;"Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado."
5.949;"Outra saída de mercadoria ou prestação de serviço não especificado"
6.101;"Venda de produção do estabelecimento"
6.102;"Venda de mercadoria adquirida ou recebida de terceiros"
6.103;"Venda de produção do estabelecimento, efetuada fora do estabelecimento"
6.104;"Venda de mercadoria adquirida ou recebida de terceiros, efetuada fora do estabelecimento"
6.105;"Venda de produção do estabelecimento que não deva por ele transitar"
6.106;"Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
6.107;"Venda de produção do estabelecimento, destinada a não contribuinte"
6.108;"Venda de mercadoria adquirida ou recebida de terceiros, destinada a não contribuinte"
6.109;"Venda de produção do estabelecimento destinada à ZFM ou ALC"
6.110;"Venda de mercadoria, adquirida ou recebida de terceiros, destinada à ZFM ou ALC"
6.111;"Venda de produção do estabelecimento remetida anteriormente em consignação industrial"
6.112;"Venda de mercadoria adquirida ou recebida de Terceiros remetida anteriormente em consignação industrial"
6.113;"Venda de produção do estabelecimento remetida anteriormente em consignação mercantil"
6.114;"Venda de mercadoria adquirida ou recebida de terceiros remetida anteriormente em consignação mercantil"
6.115;"Venda de mercadoria adquirida ou recebida de terceiros, recebida anteriormente em consignação mercantil"
6.116;"Venda de produção do estabelecimento originada de encomenda p/ entrega futura"
6.117;"Venda de mercadoria adquirida ou recebida de terceiros, originada de encomenda p/ entrega futura"
6.118;"Venda de produção do estabelecimento entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
6.119;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário por conta e ordem do adquirente originário, em venda à ordem"
6.120;"Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem"
6.122;"Venda de produção do estabelecimento remetida p/ industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
6.123;"Venda de mercadoria adquirida ou recebida de terceiros remetida p/ industrialização, por conta e ordem do adquirente, sem transitar pelo estabelecimento do adquirente"
6.124;"Industrialização efetuada p/ outra empresa"
6.125;"Industrialização efetuada p/ outra empresa quando a mercadoria recebida p/ utilização no processo de industrialização não transitar pelo estabelecimento adquirente da mercadoria"
6.129;"Venda de insumo importado e de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
6.151;"Transferência de produção do estabelecimento"
6.152;"Transferência de mercadoria adquirida ou recebida de terceiros"
6.153;"Transferência de energia elétrica"
6.155;"Transferência de produção do estabelecimento, que não deva por ele transitar"
6.156;"Transferência de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
6.201;"Devolução de compra p/ industrialização ou produção rural"
6.202;"Devolução de compra p/ comercialização"
6.205;"Anulação de valor relativo a aquisição de serviço de comunicação"
6.206;"Anulação de valor relativo a aquisição de serviço de transporte"
6.207;"Anulação de valor relativo à compra de energia elétrica"
6.208;"Devolução de mercadoria recebida em transferência p/ industrialização ou produção rural "
6.209;"Devolução de mercadoria recebida em transferência p/ comercialização"
6.210;"Devolução de compra p/ utilização na prestação de serviço"
6.251;"Venda de energia elétrica p/ distribuição ou comercialização"
6.252;"Venda de energia elétrica p/ estabelecimento industrial"
6.253;"Venda de energia elétrica p/ estabelecimento comercial"
6.254;"Venda de energia elétrica p/ estabelecimento prestador de serviço de transporte"
6.255;"Venda de energia elétrica p/ estabelecimento prestador de serviço de comunicação"
6.256;"Venda de energia elétrica p/ estabelecimento de produtor rural"
6.257;"Venda de energia elétrica p/ consumo por demanda contratada"
6.258;"Venda de energia elétrica a não contribuinte"
6.301;"Prestação de serviço de comunicação p/ execução de serviço da mesma natureza"
6.302;"Prestação de serviço de comunicação a estabelecimento industrial"
6.303;"Prestação de serviço de comunicação a estabelecimento comercial"
6.304;"Prestação de serviço de comunicação a estabelecimento de prestador de serviço de transporte"
6.305;"Prestação de serviço de comunicação a estabelecimento de geradora ou de distribuidora de energia elétrica"
6.306;"Prestação de serviço de comunicação a estabelecimento de produtor rural"
6.307;"Prestação de serviço de comunicação a não contribuinte"
6.351;"Prestação de serviço de transporte p/ execução de serviço da mesma natureza"
6.352;"Prestação de serviço de transporte a estabelecimento industrial"
6.353;"Prestação de serviço de transporte a estabelecimento comercial"
6.354;"Prestação de serviço de transporte a estabelecimento de prestador de serviço de comunicação"
6.355;"Prestação de serviço de transporte a estabelecimento de geradora ou de distribuidora de energia elétrica"
6.356;"Prestação de serviço de transporte a estabelecimento de produtor rural"
6.357;"Prestação de serviço de transporte a não contribuinte"
6.359;"Prestação de serviço de transporte a contribuinte ou a não-contribuinte, quando a mercadoria transportada esteja dispensada de emissão de Nota Fiscal  "
6.360;"Prestação de serviço de transporte a contribuinte substituto em relação ao serviço de transporte  "
6.401;"Venda de produção do estabelecimento quando o produto sujeito a ST"
6.402;"Venda de produção do estabelecimento de produto sujeito a ST, em operação entre contribuintes substitutos do mesmo produto"
6.403;"Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita a ST, na condição de contribuinte substituto"
6.404;"Venda de mercadoria sujeita a ST, cujo imposto já tenha sido retido anteriormente"
6.408;"Transferência de produção do estabelecimento quando o produto sujeito a ST"
6.409;"Transferência de mercadoria adquirida ou recebida de terceiros, sujeita a ST"
6.410;"Devolução de compra p/ industrialização ou ptrodução rural quando a mercadoria sujeita a ST"
6.411;"Devolução de compra p/ comercialização em operação com mercadoria sujeita a ST"
6.412;"Devolução de bem do ativo imobilizado, em operação com mercadoria sujeita a ST"
6.413;"Devolução de mercadoria destinada ao uso ou consumo, em operação com mercadoria sujeita a ST"
6.414;"Remessa de produção do estabelecimento p/ venda fora do estabelecimento, quando o produto sujeito a ST"
6.415;"Remessa de mercadoria adquirida ou recebida de terceiros p/ venda fora do estabelecimento, quando a referida ração com mercadoria sujeita a ST"
6.501;"Remessa de produção do estabelecimento, com fim específico de exportação"
6.502;"Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação"
6.503;"Devolução de mercadoria recebida com fim específico de exportação"
6.504;"Remessa de mercadoria p/ formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento."
6.505;"Remessa de mercadoria, adquirida ou recebida de terceiros, p/ formação de lote de exportação."
6.551;"Venda de bem do ativo imobilizado"
6.552;"Transferência de bem do ativo imobilizado"
6.553;"Devolução de compra de bem p/ o ativo imobilizado"
6.554;"Remessa de bem do ativo imobilizado p/ uso fora do estabelecimento"
6.555;"Devolução de bem do ativo imobilizado de terceiro, recebido p/ uso no estabelecimento"
6.556;"Devolução de compra de material de uso ou consumo"
6.557;"Transferência de material de uso ou consumo"
6.603;"Ressarcimento de ICMS retido por substituição tributária"
6.651;"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados à industrialização subseqüente"
6.652;"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados à comercialização"
6.653;"Venda de combustível ou lubrificante, de produção do estabelecimento, destinados a consumidor ou usuário final "
6.654;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à industrialização subseqüente "
6.655;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados à comercialização"
6.656;"Venda de combustível ou lubrificante, adquiridos ou recebidos de terceiros, destinados a consumidor ou usuário final"
6.657;"Remessa de combustível ou lubrificante, adquiridos ou recebidos de terceiros, p/ venda fora do estabelecimento"
6.658;"Transferência de combustível ou lubrificante de produção do estabelecimento"
6.659;"Transferência de combustível ou lubrificante adquiridos ou recebidos de terceiros"
6.660;"Devolução de compra de combustível ou lubrificante adquiridos p/ industrialização subseqüente"
6.661;"Devolução de compra de combustível ou lubrificante adquiridos p/ comercialização"
6.662;"Devolução de compra de combustível ou lubrificante adquiridos por consumidor ou usuário final"
6.663;"Remessa p/ armazenagem de combustível ou lubrificante"
6.664;"Retorno de combustível ou lubrificante recebidos p/ armazenagem"
6.665;"Retorno simbólico de combustível ou lubrificante recebidos p/ armazenagem"
6.666;"Remessa, por conta e ordem de terceiros, de combustível ou lubrificante recebidos p/ armazenagem"
6.667;"Venda de combustível ou lubrificante a consumidor ou usuário final estabelecido em outra UF diferente da que ocorrer o consumo"
6.901;"Remessa p/ industrialização por encomenda"
6.902;"Retorno de mercadoria utilizada na industrialização por encomenda"
6.903;"Retorno de mercadoria recebida p/ industrialização e não aplicada no referido processo"
6.904;"Remessa p/ venda fora do estabelecimento"
6.905;"Remessa p/ depósito fechado ou armazém geral"
6.906;"Retorno de mercadoria depositada em depósito fechado ou armazém geral"
6.907;"Retorno simbólico de mercadoria depositada em depósito fechado ou armazém geral"
6.908;"Remessa de bem por conta de contrato de comodato"
6.909;"Retorno de bem recebido por conta de contrato de comodato"
6.910;"Remessa em bonificação, doação ou brinde"
6.911;"Remessa de amostra grátis"
6.912;"Remessa de mercadoria ou bem p/ demonstração"
6.913;"Retorno de mercadoria ou bem recebido p/ demonstração"
6.914;"Remessa de mercadoria ou bem p/ exposição ou feira"
6.915;"Remessa de mercadoria ou bem p/ conserto ou reparo"
6.916;"Retorno de mercadoria ou bem recebido p/ conserto ou reparo"
6.917;"Remessa de mercadoria em consignação mercantil ou industrial"
6.918;"Devolução de mercadoria recebida em consignação mercantil ou industrial"
6.919;"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, recebida anteriormente em consignação mercantil ou industrial"
6.920;"Remessa de vasilhame ou sacaria"
6.921;"Devolução de vasilhame ou sacaria"
6.922;"Lançamento efetuado a título de simples faturamento decorrente de venda p/ entrega futura"
6.923;"Remessa de mercadoria por conta e ordem de terceiros, em venda à ordem ou em operações com armazém geral ou depósito fechado"
6.924;"Remessa p/ industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente"
6.925;"Retorno de mercadoria recebida p/ industrialização por conta e ordem do adquirente da mercadoria, quando aquela não transitar pelo estabelecimento do adquirente"
6.929;"Lançamento efetuado em decorrência de emissão de documento fiscal relativo a operação ou prestação também registrada em equipamento Emissor de Cupom Fiscal - ECF"
6.931;"Lançamento efetuado em decorrência da responsabilidade de retenção do imposto por substituição tributária, atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na UF onde iniciado o serviço"
6.932;"Prestação de serviço de transporte iniciada em UF diversa daquela onde inscrito o prestador"
6.933;"Prestação de serviço tributado pelo Imposto Sobre Serviços de Qualquer Natureza "
6.934;"Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado"
6.949;"Outra saída de mercadoria ou prestação de serviço não especificado"
7.101;"Venda de produção do estabelecimento"
7.102;"Venda de mercadoria adquirida ou recebida de terceiros"
7.105;"Venda de produção do estabelecimento, que não deva por ele transitar"
7.106;"Venda de mercadoria adquirida ou recebida de terceiros, que não deva por ele transitar"
7.127;"Venda de produção do estabelecimento sob o regime de drawback "
7.129;"Venda de produção do estabelecimento ao mercado externo de mercadoria industrializada sob o amparo do Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
7.201;"Devolução de compra p/ industrialização ou produção rural"
7.202;"Devolução de compra p/ comercialização"
7.205;"Anulação de valor relativo à aquisição de serviço de comunicação"
7.206;"Anulação de valor relativo a aquisição de serviço de transporte"
7.207;"Anulação de valor relativo à compra de energia elétrica"
7.210;"Devolução de compra p/ utilização na prestação de serviço"
7.211;"Devolução de compras p/ industrialização sob o regime de drawback "
7.212;"Devolução de compras para industrialização sob o regime de Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped)"
7.251;"Venda de energia elétrica p/ o exterior"
7.301;"Prestação de serviço de comunicação p/ execução de serviço da mesma natureza"
7.358;"Prestação de serviço de transporte"
7.501;"Exportação de mercadorias recebidas com fim específico de exportação"
7.551;"Venda de bem do ativo imobilizado"
7.553;"Devolução de compra de bem p/ o ativo imobilizado"
7.556;"Devolução de compra de material de uso ou consumo"
7.651;"Venda de combustível ou lubrificante de produção do estabelecimento"
7.654;"Venda de combustível ou lubrificante adquiridos ou recebidos de terceiros"
7.667;"Venda de combustível ou lubrificante a consumidor ou usuário final"
7.930;"Lançamento efetuado a título de devolução de bem cuja entrada tenha ocorrido sob amparo de regime especial aduaneiro de admissão temporária"
7.949;"Outra saída de mercadoria ou prestação de serviço não especificado"
