Nº DCB ;DENOMINAÇÃO COMUM BRASILEIRA;Nº CAS
05857;cloridrato de metizolina;5090-37-9
05862;cloridrato de metoclopramida;7232-21-5
11152;cloridrato de metoclopramida monoidratado;54143-57-6 
05872;cloridrato de metopona;124-92-5
05890;cloridrato de metoxifenamina;5588-10-3
05903;cloridrato de metronidazol;69198-10-3
05911;cloridrato de mexiletina;5370-01-4
05921;cloridrato de mianserina;21535-47-7
05938;cloridrato de midazolam;59467-96-8
05945;cloridrato de midodrina;3092-17-9
05955;cloridrato de milacemida;76990-85-7
05960;cloridrato de milnaciprana;101152-94-7
05977;cloridrato de minociclina;13614-98-7
05988;cloridrato de mirfentanila;119413-53-5
05991;cloridrato de mirincamicina;8063-91-0
05996;cloridrato de mirofina;[Ref. 3]
06057;cloridrato de molindona;15622-65-8
06076;cloridrato de moperona;3871-82-7
06095;cloridrato de morfina;52-26-6
06119;cloridrato de morinamida;1473-73-0
06140;cloridrato de moxifloxacino;186826-86-8
10919;cloridrato de moxifloxacino monoidratado;192927-63-2
06147;cloridrato de moxonidina;75438-58-3
06160;cloridrato de nabitana;49637-08-3
06177;cloridrato de nafazolina;550-99-2
06190;cloridrato de nafoxidina;1847-63-8
06195;cloridrato de naftifina;65473-14-5
06203;cloridrato de nalbufina;23277-43-2
06206;cloridrato de nalmexona;16676-27-0
06209;cloridrato de nalorfina;57-29-4
06211;cloridrato de naloxona;357-08-4
06213;cloridrato de naltrexona;16676-29-2
06225;cloridrato de nantradol;65511-42-4
06227;cloridrato de napactadina;57166-13-9
06230;cloridrato de napamezol;87495-33-8
06240;cloridrato de naratriptana;143388-64-1
06250;cloridrato de naxagolida;99705-65-4
09650;cloridrato de nebivolol;152520-56-4
06263;cloridrato de nefazodona;82752-99-6
06266;cloridrato de neflumozida;86015-38-5
06268;cloridrato de nefopam;23327-57-3
06322;cloridrato de nicardipino;54527-84-3
06332;cloridrato de nicocodina;[Ref. 5]
06341;cloridrato de nicomorfina;12040-41-4
06348;cloridrato de nicotinamida;25334-23-0
09668;cloridrato de nilotinibe monoidratado ;[Ref. 1]
06397;cloridrato de nimustina;55661-38-6
06418;cloridrato de nitrafudam;57666-60-1
06420;cloridrato de nitramisol;56689-44-2
06471;cloridrato de noracimetadol;5633-25-0
10938;cloridrato de norcocaína;61585-22-6
06478;cloridrato de norcodeína;14648-14-7
06488;cloridrato de norepinefrina;329-56-6
06496;cloridrato de norfenefrina;15308-34-6
06509;cloridrato de norlevorfanol;[Ref. 3]
06512;cloridrato de normetadona;847-84-7
06518;cloridrato de normorfina;[Ref. 3]
06521;cloridrato de norpipanona;6033-41-6
06524;cloridrato de nortriptilina;894-71-3
06528;cloridrato de noscapina;912-60-7
06535;cloridrato de noxiptilina;4985-15-3
06546;cloridrato de ocfentanila;112964-97-3
10661;cloridrato de olodaterol;869477-96-3
06594;cloridrato de olopatadina;140462-76-6
06610;cloridrato de ondansetrona;99614-01-4
09418;cloridrato de ondansetrona di-hidratado;103639-04-9
06625;cloridrato de orciprenalina;[Ref. 3]
06631;cloridrato de orfenadrina;341-69-5
06643;cloridrato de ornitina;3184-13-2
06673;cloridrato de oxamisol;99258-55-6
06680;cloridrato de oxaprotilina;39022-39-4
06698;cloridrato de oxetacaína;13930-31-9
06709;cloridrato de oxibuprocaína;5987-82-6
06711;cloridrato de oxibutinina;1508-65-2
06718;cloridrato de oxicodona;124-90-3
02471;cloridrato de óxido de clormetina;302-70-5
06735;cloridrato de oxifedrina;16777-42-7
06743;cloridrato de oxifungina;55242-74-5
06749;cloridrato de oximetazolina;2315-02-8
06753;cloridrato de oximorfona;357-07-3
06765;cloridrato de oxitetraciclina;2058-46-0
06777;cloridrato de oxomemazina;4784-40-1
06782;cloridrato de oxprenolol;6452-73-9
09374;cloridrato de palonosetrona;135729-62-3
06823;cloridrato de papaverina;61-25-6
06842;cloridrato de parconazol;62973-77-7
06848;cloridrato de pargeverina;2765-97-1
06850;cloridrato de pargilina;306-07-0
06859;cloridrato de paroxetina;78246-49-8
10032;cloridrato de paroxetina hemi-hidratado;110429-35-1
09717;cloridrato de pazopanibe;635702-64-6
06888;cloridrato de pelanserina;42877-18-9
06893;cloridrato de pelrinona;89232-84-8
06915;cloridrato de penicilamina;2219-30-9
06935;cloridrato de pentazocina;64024-15-3
11153;cloridrato de perfenazina;3111-71-5
07008;cloridrato de petidina;50-13-5
07050;cloridrato de pilocarpina;54-71-7
07083;cloridrato de pioglitazona;112529-15-4
07088;cloridrato de pipazetato;6056-11-7
07107;cloridrato de piperidolato;129-77-1
07121;cloridrato de pipoxolana;18174-58-8
07124;cloridrato de pipradrol;71-78-3
07130;cloridrato de piquindona;83784-19-4
07132;cloridrato de piquizila;23256-26-0
07135;cloridrato de pirandamina;42408-78-6
07167;cloridrato de piridoxina;58-56-0
07171;cloridrato de pirimetamina;19085-09-7
07190;cloridrato de pirlimicina;77495-92-2
07194;cloridrato de pirmenol;61477-94-9
07200;cloridrato de piroeptina;16378-22-6
07207;cloridrato de pirovalerona;1147-62-2
07210;cloridrato de piroxantrona;105118-12-5
07221;cloridrato de pirrocaína;2210-64-2
07230;cloridrato de pitofenona;1248-42-6
07299;cloridrato de pramiracetam;75733-50-5
07302;cloridrato de pramiverina;14334-41-9
07304;cloridrato de pramocaína;637-58-1
09669;cloridrato de prasugrel ;389574-19-0
07325;cloridrato de prazosina;19237-84-4
07348;cloridrato de prenalterol;61260-05-7
07364;cloridrato de prilocaína;1786-81-8
07383;cloridrato de procaína;51-05-8
07385;cloridrato de procainamida;614-39-1
07388;cloridrato de procarbazina;366-70-1
07390;cloridrato de procaterol;59828-07-8
07397;cloridrato de proclorperazina;74525-44-3
07404;cloridrato de proeptazina;[Ref. 3]
07406;cloridrato de profadol;2324-94-9
07418;cloridrato de proguanil;637-32-1
07422;cloridrato de prolintano;1211-28-5
07424;cloridrato de promazina;53-60-1
07431;cloridrato de prometazina;58-33-3
07438;cloridrato de propafenona;34183-22-7
07458;cloridrato de propilexedrina;6192-96-7
07466;cloridrato de propiomazina;1240-15-9
07482;cloridrato de propranolol;318-98-9
07486;cloridrato de proroxano;33025-33-1
02461;cloridrato de protamina;119370-86-4
07499;cloridrato de protipendil;1225-65-6
07505;cloridrato de protriptilina;1225-55-4
07514;cloridrato de proximetacaína;5875-06-9
07520;cloridrato de pseudoefedrina;345-78-8
07548;cloridrato de quimpirol;85798-08-9
07553;cloridrato de quinagolida;94424-50-7
07555;cloridrato de quinapril;82586-55-8
07563;cloridrato de quinelorano;97548-97-5
07580;cloridrato de quinina;130-89-2
07597;cloridrato de racecarnitina;461-05-2
09413;cloridrato de racemabuterol;95656-48-7
07616;cloridrato de ractopamina;90274-24-1
07622;cloridrato de raloxifeno;82640-04-8
07625;cloridrato de ramifenazona;[Ref. 4]
07639;cloridrato de ranitidina;66357-59-3
07646;cloridrato de raubasina;[Ref. 3]
07654;cloridrato de recainam;74752-07-1
07664;cloridrato de remifentanila;132539-07-2
07681;cloridrato de reproterol;13055-82-8
07685;cloridrato de reserpina;16994-56-2
10053;cloridrato de rilpivirina;700361-47-3
07731;cloridrato de rimantadina;1501-84-4
07738;cloridrato de rincazol;75859-03-9
07746;cloridrato de risotilida;116907-13-2
07754;cloridrato de ritodrina;23239-51-2
07766;cloridrato de robenidina;25875-50-7
07768;cloridrato de rocastina;99617-35-3
07801;cloridrato de ropinirol;91374-20-8
07803;cloridrato de ropitoína;56079-80-2
07805;cloridrato de ropivacaína;98717-15-8
07896;cloridrato de sarafloxacino;91296-87-6
07930;cloridrato de selegilina;14611-52-0
07935;cloridrato de sematilida;101526-62-9
07950;cloridrato de serazapina;117581-05-2
07964;cloridrato de sertralina;79559-97-0
07973;cloridrato de sevelâmer;182683-00-7
07978;cloridrato de sezolamida;119271-78-2
07985;cloridrato de sibutramina;84485-00-7
09375;cloridrato de sibutramina monoidratado;125494-59-9
08008;cloridrato de simetina;5585-62-6
08042;cloridrato de somantadina;68693-30-1
08065;cloridrato de sotalol;959-24-0
11154;cloridrato de sultoprida;23694-17-9
08251;cloridrato de tacrina;1684-40-8
08260;cloridrato de talampicilina;39878-70-1
08290;cloridrato de tandamina;58167-78-5
08296;cloridrato de tansulosina;106463-17-6
10656;cloridrato de tapentadol;175591-09-0
08318;cloridrato de tazifilina;79712-53-1
08326;cloridrato de tebacona;20236-82-2
08360;cloridrato de temafloxacino;105784-61-0
08380;cloridrato de tenildiamina;958-93-0
08396;cloridrato de teodrenalina;2572-61-4
08407;cloridrato de terazosina;70024-40-7
08410;cloridrato de terbinafina;78628-80-5
08435;cloridrato de terodilina;7082-21-5
08442;cloridrato de tertatolol;33580-30-2
08463;cloridrato de tetracaína;136-47-0
08465;cloridrato de tetraciclina;64-75-5
08476;cloridrato de tetramisol;5086-74-8
08484;cloridrato de tetrizolina;522-48-5
08494;cloridrato de tiabendazol;19525-20-3
08501;cloridrato de tiagabina;145821-59-6
08507;cloridrato de tiamenidina;51274-83-0
08511;cloridrato de tiamina;67-03-8
08528;cloridrato de tiapamil;87434-83-1
08531;cloridrato de tiaprida;51012-33-0
08534;cloridrato de tiaramida;35941-71-0 
08551;cloridrato de ticlopidina;53885-35-1
08576;cloridrato de tiletamina;14176-50-2
08578;cloridrato de tilidina;27107-79-5 
08620;cloridrato de tinoridina;25913-34-2
08646;cloridrato de tioridazina;130-61-0
08649;cloridrato de tiospirona;87691-92-7
08661;cloridrato de tipentosina;95588-10-6
08670;cloridrato de tiprenolol;39832-43-4
08687;cloridrato de tirofibana;142373-60-2
09416;cloridrato de tirofibana monoidratado;150915-40-5
08705;cloridrato de tizanidina;64461-82-1
08724;cloridrato de tofenacina;10488-36-5
08753;cloridrato de tolperisona;3644-61-9
08775;cloridrato de tonzilamina;63-56-9
08778;cloridrato de topotecana;119413-54-6
08807;cloridrato de tramadol;36282-47-0
08809;cloridrato de tramazolina;3715-90-0
08824;cloridrato de trazodona;25332-39-2
08888;cloridrato de triexifenidil;52-49-3
08898;cloridrato de trifluperidol;2062-77-3
08900;cloridrato de triflupromazina;1098-60-8
08908;cloridrato de trimazosina;35795-17-6
08914;cloridrato de trimeperidina;125-80-4
08920;cloridrato de trimetobenzamida;554-92-7
08931;cloridrato de trimoxamina;7082-27-1
08942;cloridrato de tripelenamina;154-69-8
08945;cloridrato de triprolidina;6138-79-0
08948;cloridrato de triptofano;[Ref. 3]
08962;cloridrato de trolamina;[Ref. 3]
08968;cloridrato de tromantadina;41544-24-5
10662;cloridrato de trometamol;1185-53-1
08973;cloridrato de tropanserina;85181-38-0
08982;cloridrato de tropisetrona;105826-92-4
08996;cloridrato de tubulozol;83529-08-2
09000;cloridrato de tulobuterol;56776-01-3
09069;cloridrato de valaciclovir;124832-27-5
09075;cloridrato de valganciclovir;175865-59-5
09089;cloridrato de vancomicina;1404-93-9
09097;cloridrato de vapiprosta;87248-13-3
09376;cloridrato de vardenafila;224785-91-5
09377;cloridrato de vardenafila tri-hidratado;330808-88-3
09113;cloridrato de venlafaxina;99300-78-4
09116;cloridrato de veradolina;76448-47-0
09119;cloridrato de verapamil;152-11-4
09824;cloridrato de vernacalanto;748810-28-8
10784;cloridrato de vilazodona;163521-08-2
09134;cloridrato de viloxazina;35604-67-2
09144;cloridrato de vincamina;10592-03-7
09175;cloridrato de viquidil;52211-63-9
09582;cloridrato de xemilofibana;156586-91-3
09208;cloridrato de xilazina;23076-35-9
09213;cloridrato de xilometazolina;1218-35-5
09226;cloridrato de zacoprida;99617-34-2
09234;cloridrato de zaltidina;90274-23-0
09275;cloridrato de ziprasidona;122883-93-6
09417;cloridrato de ziprasidona monoidratado;138982-67-9
09283;cloridrato de zolamina;1155-03-9
09286;cloridrato de zolazepam;33754-49-3
09289;cloridrato de zolertina;7241-94-3
09307;cloridrato de zorrubicina;36508-71-1
09570;cloridrato do ácido aminolevulínico;5451-09-2
02231;cloridrato do palmitato de clindamicina;25507-04-4
09665;cloridrato férrico hexaidratado ;10025-77-1 
02462;clorindanol;145-94-8
02463;clorindiona;1146-99-2
02464;clormadinona;1961-77-9
02466;clormecaína;13930-34-2
02467;clormerodrina;62-37-3
02468;clormerodrina (197 Hg);10375-56-1
09734;clormerodrina (203 Hg);2042-50-4
02469;clormetina;51-75-2
02472;clormezanona;80-77-3
02473;clormidazol;3689-76-7
02474;clornafazina;494-03-1
02350;clorobutanol;57-15-8
02475;clorocresol;59-50-7
02476;clorofeno;120-32-1
02477;clorofila;1406-65-1
02478;clorofórmio;67-66-3
09695;cloroidróxido de alumínio;12042-91-0
02479;cloroperona;61764-61-2
02481;cloropiramina;59-32-5
02482;cloropirileno;148-65-2
02484;cloroprednisona;52080-57-6
02485;cloroprocaína;133-16-4
02486;cloroqualona;25509-07-3
02487;cloroquina;54-05-7
02491;cloroserpidina;7008-24-4
02492;clorotepina;13448-22-1
02493;clorotiazida;58-94-6
02494;clorotimol;89-68-9
02495;clorotrianiseno;569-57-3
02496;cloroxilenol;88-04-0
02497;cloroxina;773-76-2
02498;clorprenalina;3811-25-4
02500;clorproetazina;84-01-5
02501;clorproguanil;537-21-3
02502;clorpromazina;50-53-3
02505;clorpropamida;94-20-2
02506;clorprotixeno;113-59-7
02508;clorquinaldol;72-80-0
02509;clorsulona;60200-06-8
02510;clortalidona;77-36-1
02511;clortenoxazina;132-89-8
02512;clortermina;10389-73-8
02514;clortetraciclina;57-62-5
02516;clorzoxazona;95-25-0
02517;closantel;57808-65-8
02518;closantel sódico;[Ref. 4]
02519;closilato de tênio;4304-40-9
02520;closiramina;47135-88-6
02521;clostebol;1093-58-9
02524;clotiapina;2058-52-8
02525;clotiazepam;33671-46-4
02526;cloticasona;87556-66-9
02527;clotioxona;1856-34-4
02528;clotixamida;4177-58-6
02529;clotrimazol;23593-75-1
02530;clovoxamina;54739-19-4
02531;cloxaceprida;65569-29-1
02532;cloxacilina;61-72-3
02533;cloxacilina benzatina;23736-58-5
02534;cloxacilina sódica;7081-44-9
02535;cloxazolam;24166-13-0
02536;cloxestradiol;54063-33-1
02537;cloxipendil;15311-77-0
02538;cloxiquina;130-16-5
02539;cloxotestosterona;53608-96-1
02540;clozapina;5786-21-0
09420;cobalamina;13408-78-1
10260;Cobaltum metallicum ;[Ref. 8]
02541;cobamamida;13870-90-1
11109;cobicistate;1004316-88-4
11110;cobimetinibe;934660-93-2 
10939;cocaetileno;529-38-4
10940;cocaína;50-36-2
02542;cocarboxilase;154-87-0
10261;Cocculus indicus  ;[Ref. 8]
10262;Coccus cacti ;[Ref. 8]
10263;Cochlearia armoracia;[Ref. 8]
02543;cocoamidopropilbetaína;86438-79-1
02544;codactida;22572-04-9
02545;codeína;76-57-3
11155;codeína monoidratada;6059-47-8
03023;codergocrina;11032-41-0
02563;codoxima;7125-76-0
09421;coenzima A;85-61-0
10865;Coffea canephora Pierre ex A. Froehner;[Ref. 6]
10264;Coffea cruda ;[Ref. 8]
10265;Coffea tosta ;[Ref. 8]
02564;cofisatina;54063-34-2
10866;Coix lacryma-jobi L.;[Ref. 6]
10901;cola de fibrina;[Ref. 8]
09902;Cola nitida (Vent.) Schott & Endl.;[Ref. 6]
02565;colagenase;9001-12-1
02566;colágeno;39016-21-2
00153;colato de sódio;361-09-1
02567;colchicina;64-86-8
10266;Colchicum autumnale  ;[Ref. 8]
02569;colecalciferol;67-97-0
02570;colesevelam;182815-43-6
02571;colesterol;57-88-5
02572;colestipol;26658-42-4
02573;colestiramina;11041-12-6
02574;colestolona;50673-97-7
02575;colfenamato;30531-86-3
02576;colforsina;66575-29-9
02577;colimeciclina;58298-92-3
02578;colina;123-41-1
02592;colistimetato de sódio;8068-28-8
02590;colistina;1066-17-7
10267;Collinsonia canadensis ;[Ref. 8]
10268;Colocynthis;[Ref. 8]
02594;colterol;18866-78-9
10269;Comocladia dentata ;[Ref. 8]
10902;complexo protrombínico humano liofilizado;[Ref. 8]
10903;concentrado de granulócitos;[Ref. 8]
10904;concentrado de hemácias;[Ref. 8]
10905;concentrado de plaquetas;[Ref. 8]
02596;condroitina;9007-27-6
10270;Condurango;[Ref. 8]
02598;conessina;546-06-5
10271;Conium maculatum  ;[Ref. 8]
02599;conivaptana;210101-16-9
02600;conorfona;72060-05-0
02602;convalatoxina;508-75-8
10272;Convallaria majalis  ;[Ref. 8]
10867;Copaifera langsdorffii Desf.;[Ref. 6]
10868;Copaifera multijuga (Hayne) Kuntze;[Ref. 6]
10869;Copaifera paupera (Herzog) Dwyer;[Ref. 6]
10870;Copaifera reticulata Ducke;[Ref. 6]
10273;Copaiva officinalis ;[Ref. 8]
10822;Copernicia prunifera (Mill.) H. E. Moore;[Ref. 6]
11257;copolímero de acetato e ftalato de vinila;34481-48-6
09476;copolímero de ácido metacrílico e metacrilato de etila;25212-88-8
10958;copolímero de acrilato de etila e metacrilato de metila (2:1);9010-88-2
11258;copolímero de acrilato de etila, metacrilato de cloreto de trimetilamônio de etila e metacrilato de metila;33434-24-1
10959;copolímero de acriloildimetiltaurato de sódio e acrilato de hidroxietila;111286-86-3
11303;copolímero de álcool polivinílico e macrogol;96734-39-3
11019;copolímero de dimetacrilato de etilenoglicol e metacrilato de metila;25777-71-3
11020;copolímero de glicolida e lactida;26780-50-7
11220;copolímero de glicolida e lactida com glicose;96880-31-8
11259;copolímero de metacrilato de butila, metacrilato de dimetilaminoetila e metacrilato de metila;24938-16-7
10960;copolímero do ácido metacrílico e metacrilato de metila;25086-15-1
10957;copolímero do ácido metacrílico e metacrilato de metila (1:2);[Ref. 7]
11021;copolímero dos ácidos glicólico e láctico;34346-01-5
09884;copovidona;25086-89-9
10274;Corallium rubrum ;[Ref. 8]
02603;corbadrina;829-74-3
10709;Coriandrum sativum L. ;[Ref. 6]
02605;cormetasona;35135-68-3
02607;corticorrelina;79804-71-0
02608;corticotropina;9002-60-2
02610;cortisona;53-06-5
02614;cortisuzol;50801-44-0
02615;cortivazol;1110-40-3
02616;cortodoxona;152-58-9
11048;Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson;[Ref. 6]
02617;cotinina;486-56-6
02619;cotriptilina;34662-67-4
10710;Crataegus laevigata (Poir.) DC.;[Ref. 6]
09903;Crataegus monogyna Jacq. ;[Ref. 6]
10275;Crataegus oxyacantha ;[Ref. 8]
10711;Crataegus rhipidophylla Gand. (syn. Crataegus oxyacantha L.);[Ref. 6]
10712;Crataegus pentagyna Waldst. & Kit. ex Willd;[Ref. 6]
02620;creatinolfosfato;6903-79-3
02621;cresotamida;14008-60-7
02622;cridanimode;38609-97-1
02623;crilanômer;37291-07-9
02624;crilvastatina;120551-59-9
02625;criofluorano;76-14-2
02626;crisnatol;96389-68-3
02628;crizarobina;491-59-8
10772;crizotinibe;877399-52-5
02629;crobenetina;221019-25-6
02630;croconazol;77175-51-0
10276;Crocus sativus;[Ref. 8]
10682;crofelêmer;148465-45-6
02632;cromacalim;94470-67-4
02633;cromato de magnésio;13423-61-5
02634;cromato de sódio (51 Cr);10039-53-9
02635;cromitrila;53736-51-9
02636;cromitrila sódica;53736-52-0
02637;cromocarbe;4940-39-0
00155;cromoglicato de lisetila;110816-79-0
00156;cromoglicato dissódico;15826-37-6
02638;cronidipino;113759-50-5
02639;cropropamida;633-47-6
02640;croscarmelose;9000-11-7
02641;croscarmelose sódica;74811-65-7
10961;crospolímero de dimeticona;213629-14-2
10277;Crotalus horridus ;[Ref. 8]
02643;crotamitona;483-63-6
02644;crotetamida;6168-76-9
11271;Croton heliotropiifolius Kunth;[Ref. 6]
10278;Croton tiglium ;[Ref. 8]
02645;crotoniazida;7007-96-7
02646;crufomato;299-86-5
02647;cumafós;56-72-4
02648;cumamicina;4344-05-3
02649;cumarina;91-64-5
02650;cumazolina;37681-00-8
02651;cumetarol;4366-18-1
02652;cuprimixina;28069-65-0
02653;cuproxolina;13007-93-7
10279;Cuprum aceticum ;[Ref. 8]
10280;Cuprum arsenicosum;[Ref. 8]
10281;Cuprum carbonicum;[Ref. 8]
10282;Cuprum metallicum ;[Ref. 8]
10283;Cuprum sulphuricum ;[Ref. 8]
10284;Curare;[Ref. 8]
10823;Curcuma longa L. ;[Ref. 6]
10054;cutina;54990-88-4
10285;Cyclamen europaeum  ;[Ref. 8]
10824;Cymbopogon citratus (DC.) Stapf;[Ref. 6]
11049;Cymbopogon martini (Roxb.) W. Watson;[Ref. 6]
10825;Cynara cardunculus L. subsp. flavescens Wiklund;[Ref. 6]
09904;Cynara scolymus L.;[Ref. 6]
10286;Cypripedium pubescens;[Ref. 8]
10287;Cyrtopodium punctatum;[Ref. 8]
02654;dabigatrana;211914-51-1
10639;dabrafenibe;1195765-45-7
02655;dacarbazina;4342-03-4
02656;dacemazina;518-61-6
02657;dacisteína;18725-37-6
11033;daclatasvir;1009119-64-5
02658;daclizumabe;152923-56-3
02659;dacopafanto;125372-33-0
02660;dactinomicina;50-76-0
02661;dagapamil;85247-76-3
09680;daidseína;486-66-8
02662;dalbavancina;17500-79-1
02663;dalbraminol;81528-80-5
02664;daledalina;22136-27-2
02665;dalfopristina;112362-50-2
02666;dalteparina sódica;9041-08-1
02667;daltrobana;79094-20-5
02668;dalvastatina;132100-55-1
02669;dametralaste;71680-63-2
02670;damotepina;1469-07-4
02671;danaparoide sódica;308068-55-5
02672;danazol;17230-88-5
02673;daniplestim;161753-30-6
02674;daniquidona;67199-66-0
02675;danitraceno;31232-26-5
02676;danofloxacino;112398-08-0
02678;danosteína;4938-00-5
02679;dantroleno;7261-97-4
02680;dantroleno sódico;14663-23-1
09632;dantroleno sódico hemieptaidratado;24868-20-0
02681;dantrona;117-10-2
02682;dapabutana;6582-31-6
10974;dapaconazol;1269726-67-1
09951;dapagliflozina;461432-26-8
10288;Daphne indica   ;[Ref. 8]
02683;dapiprazol;72822-12-9
02685;dapoxetina;119356-77-3
02686;dapsona;80-08-0
02687;daptomicina;103060-53-3
11111;darapladibe;356057-34-6
02688;darbufelona;139226-28-1
02689;darenzepina;84629-61-8
02690;darglitazona;141200-24-0
02691;darifenacina;133099-04-4
02692;darodipino;72803-02-2
09573;darunavir;206361-99-1
02693;darusentana;171714-84-4
10975;dasabuvir;1132935-63-7
10976;dasabuvir sódico monoidratado;1456607-55-8
09550;dasatinibe;302962-49-8
09551;dasatinibe monoidratado;863127-77-9
10289;Datura arborea;[Ref. 8]
02694;daunorrubicina;20830-81-3
02697;dazadrol;47029-84-5
02699;dazepinila;75991-50-3
02701;dazidamina;75522-73-5
02702;dazmegrel;76894-77-4
02703;dazolicina;61477-97-2
02704;dazoprida;70181-03-2
02706;dazoquinaste;76002-75-0
02707;dazoxibeno;78218-09-4
02709;deanol;108-01-0
02710;deboxamete;34024-41-4
02711;debrisoquina;1131-64-2
02713;debropol;24403-04-1
10911;decametilciclopentasiloxano;541-02-6
04123;decanoato de flufenazina;5002-47-1
04182;decanoato de flupentixol;30909-51-4
04591;decanoato de haloperidol;74050-97-8
06219;decanoato de nandrolona;360-70-3
08453;decanoato de testosterona;5721-91-5
09315;decanoato de zuclopentixol;64053-00-5
02714;decimemida;14817-09-5
02715;decitabina;2353-33-5
02716;decitropina;1242-69-9
02717;declemperona;63388-37-4
02718;declopramida;891-60-1
02719;decloxizina;3733-63-9
02720;decominol;60812-35-3
02721;decoquinato;18507-89-6
02722;dectaflur;36505-83-6
09329;deferasirox;201530-41-8
02723;deferiprona;30652-11-0
02727;defibrotida;83712-60-1
02728;deflazacorte;14484-47-0
02729;defosfamida;3733-81-1
02730;defoslimode;171092-39-0
09696;degarrelix;214766-78-6
02732;delapril;83435-66-9
02734;delavirdina;136817-59-9
02736;delequamina;119905-05-4
02737;delergotrila;59091-65-5
02738;delfantrina;3643-11-1
02739;delfaprazina;117827-81-3
10926;deligoparina sódica;[Ref. 1]
02740;delmadinona;15262-77-8
02742;delmetacina;16401-80-2
02743;delmopinol;79874-76-3
02744;delorazepam;2894-67-9
02745;deloxolona;68635-50-7
02746;delprostenato;62524-99-6
02747;deltaepoetina;261356-80-3
02748;deltametrina;52918-63-5
02749;deltibanto;140661-97-8
02750;dembrexina;83200-09-3
02751;dembufilina;57076-71-8
02752;demeciclina;987-02-0
02753;demeclociclina;127-33-3
02755;demecolcina;477-30-5
02756;demegestona;10116-22-0
02757;demelverina;13977-33-8
02758;demexiptilina;24701-51-7
02759;democonazol;70161-09-0
02760;demoxepam;963-39-3
02761;demoxitocina;113-78-0
02762;dempidazona;42438-73-3
02763;denaverina;3579-62-2
02764;denileucina diftitox;173146-27-5
02765;deniprida;106972-33-2
02766;denopamina;71771-90-9
09825;denosumabe;615258-40-7
02767;denzimol;73931-96-1
02768;depramina;303-54-8
02769;depreotida;161982-62-3
09777;depreotida (99m Tc);174900-52-8
02770;deprodona;20423-99-8
02771;deprostila;33813-84-2
02772;deptropina;604-51-3
02773;deracoxibe;169590-41-4
02774;deranciclano;120444-71-5
02775;derpanicato;99518-29-3
02776;desaspidina;114-43-2
02777;desciclovir;84408-37-7
02778;descinolona;595-52-8
02779;descinolona acetonida ;2135-14-0
02780;deserpidina;131-01-1
02724;desferroxamina;70-51-9
02781;desflurano;57041-67-5
02782;desglugastrina;51987-65-6
02583;desidrocolato de colina;4201-78-9
02731;desidrocolato de lítio;[Ref. 1]
00158;desidrocolato de magnésio;7786-84-7
00159;desidrocolato de sódio;145-41-5
02783;desidroemetina;4914-30-1
02784;desipramina;50-47-5
02786;desirudina;120993-53-5
02787;deslanosídeo;17598-65-1
02788;desloratadina;100643-71-8
02789;deslorrelina;57773-65-6
02790;desmetilmoramida;1767-88-0
02791;desmopressina;16679-58-6
02793;desmoteplase;145137-38-8
02794;desocriptina;66759-48-6
02795;desogestrel;54024-22-5
02796;desomorfina;427-00-9
02797;desonida;638-94-8
00162;desoxicolato de sódio;302-95-4
02798;desoxicortona;64-85-7
02802;desoxiepinefrina;501-15-5
02803;desoximetasona;382-67-2
02804;desoxirribonuclease;9003-98-9
11071;desvenlafaxina;93413-62-8
02805;detanosal;23573-66-2
02806;deterenol;3506-31-8
02808;detirrelix;89662-30-6
02810;detomidina;76631-46-4
02812;detorrubicina;66211-92-5
02813;detrotironina;5714-08-9
02814;detumomabe;145832-33-3
02815;devapamil;92302-55-1
02816;devazepida;103420-77-5
02817;dexametasona;50-02-2
02827;dexamisol;14769-74-5
02828;dexanfetamina;51-64-9
02832;dexbronfeniramina;132-21-8
02834;dexbudesonida;51372-29-3
02835;dexcetoprofeno;22161-81-5
10683;dexcetoprofeno trometamol;156604-79-4
02836;dexclamol;52340-25-7
02837;dexclorfeniramina;25523-97-1
02840;dexetimida;21888-98-2
02841;dexfenfluramina;3239-44-9
02843;dexfosfosserina;407-41-0
02844;dexibuprofeno;51146-56-6
02845;deximafeno;60719-87-1
02846;dexindoprofeno;53086-13-8
02847;dexivacaína;24358-84-7
10034;dexlansoprazol;138530-94-6
02848;dexlofexidina;81447-79-2
02849;dexloxiglumida;119817-90-2
02850;dexmedetomidina;113775-47-6
02852;dexnafenodona;92629-87-3
02853;dexormaplatina;96392-96-0
02854;dexoxadrol;4741-41-7
02855;dexpantenol;81-13-0
02856;dexpemedolaco;114030-44-3
02857;dexpropranolol;5051-22-9
02859;dexproxibuteno;47419-52-3
02860;dexrazoxano;24584-09-6
02862;dexsecoverina;90237-04-0
02863;dexsotalol;30236-32-9
02864;dextilidina;32447-90-8
02865;dextiopronina;29335-92-0
02866;dextrana;9004-54-0
11310;dextrana 500 (99m Tc);[Ref. 8]
11309;dextrana 70 (99m Tc);[Ref. 8]
02867;dextranômer;56087-11-7
02868;dextriferrona;9004-51-7
08716;dextroalfatocoferol;59-02-9
09424;dextrocanfeno;79-92-5
02869;dextrocarnitina;541-14-0
11278;dextroetodolaco;87249-11-4
02871;dextrofemina;15687-08-8
02872;dextrometadona;5653-80-5
