Código do Termo;Termo
60007966;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60007974;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60007982;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60007990;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008008;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008016;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008024;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008032;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008040;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008059;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008067;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008075;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008083;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008091;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008105;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008113;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008121;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008130;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008148;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008156;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008164;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008172;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008180;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008199;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008202;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008210;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008229;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008237;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008245;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008253;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008261;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008270;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008288;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008296;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008300;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008318;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008326;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008334;NEBULIZAÇÃO / MÁSCARA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008342;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008350;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008369;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008377;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008385;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008393;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008407;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008415;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008423;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008431;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008440;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008458;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008466;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008474;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008482;NEBULIZAÇÃO / MÁSCARA, COM ÓXIDO NITROSO, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008490;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008504;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008512;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008520;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008539;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008547;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008555;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008563;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008571;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008580;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008598;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008601;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008610;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008628;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008636;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 1 LITRO/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008644;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008652;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008660;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008679;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008687;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008695;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008709;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008717;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008725;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008733;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008741;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008750;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008768;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008776;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008784;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 2 LITROS/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008792;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008806;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008814;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008822;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008830;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008849;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60008857;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008865;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008873;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008881;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008890;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60008903;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60008911;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008920;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, NA UTI / SEMI-UTI
60008938;NEBULIZAÇÃO AQUECIDA COM OXIGÊNIO, VAZÃO DE 3 LITROS/MIN, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60008946;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008954;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60008962;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60008970;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60008989;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60008997;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60009004;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009012;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009020;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009039;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009047;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009055;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009063;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009071;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR USO/SESSÃO, NA UTI / SEMI-UTI
60009080;NEBULIZAÇÃO/MÁSCARA COM AR COMPRIMIDO E OXIGÊNIO, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60009098;NITROGÊNIO LÍQUIDO, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009101;NITROGÊNIO LÍQUIDO, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60009110;NITROGÊNIO LÍQUIDO, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009128;NITROGÊNIO LÍQUIDO, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60009136;NITROGÊNIO LÍQUIDO, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009144;NITROGÊNIO LÍQUIDO, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009152;NITROGÊNIO LÍQUIDO, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009160;NITROGÊNIO LÍQUIDO, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009179;NITROGÊNIO LÍQUIDO, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009187;NITROGÊNIO LÍQUIDO, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60009195;NITROGÊNIO, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009209;NITROGÊNIO, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60009217;NITROGÊNIO, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009225;NITROGÊNIO, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60009233;NITROGÊNIO, POR DIA (CORRIDO OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009241;NITROGÊNIO, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009250;NITROGÊNIO, POR HORA (CORRIDA OU SUBSEQUENTE), FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009268;NITROGÊNIO, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009276;NITROGÊNIO, POR USO/SESSÃO, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009284;NITROGÊNIO, POR USO/SESSÃO, NO CENTRO CIRÚRGICO
60009292;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60009306;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60009314;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60009322;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60009330;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009349;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009357;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009365;ÓXIDO NÍTRICO, NO RESPIRADOR / VENTILADOR, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009373;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60009381;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60009390;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60009403;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
60009411;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, POR DIA (CORRIDO OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009420;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, POR DIA (CORRIDO OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009438;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, POR HORA (CORRIDA OU SUBSEQUENTE), NA UTI / SEMI-UTI
60009446;ÓXIDO NITROSO, NO RESPIRADOR / VENTILADOR, POR HORA (CORRIDA OU SUBSEQUENTE), NO CENTRO CIRÚRGICO
60009454;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009462;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NA UTI / SEMI-UTI
60009470;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRA HORA, NO CENTRO CIRÚRGICO
60009489;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, FORA DA UTI/SEMI-UTI E DO CENTRO CIRÚRGICO
60009497;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NA UTI / SEMI-UTI
60009500;OXIGÊNIO NA INCUBADORA, VAZÃO DE 1 LITRO/MIN, INSTALAÇÃO / PRIMEIRO DIA, NO CENTRO CIRÚRGICO
